City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,enewetak,11.3474,162.3373,29.11,76,96,6.4,MH,1696235529
84,kismayo,-0.3582,42.5454,28.74,65,0,7.7,SO,1696235529
85,howrah,22.5892,88.3103,29.0,89,75,2.06,IN,1696235530
86,brookings,44.3114,-96.7984,20.77,61,0,4.63,US,1696235530
87,new norfolk,-42.7826,147.0587,16.72,52,0,2.03,AU,1696235530
88,ghat,24.9647,10.1728,29.76,30,0,3.19,LY,1696235530
89,kharp,66.8014,65.8081,10.12,90,99,3.99,RU,1696235530
90,mount gambier,-37.8333,140.7667,18.94,47,0,2.92,AU,1696235494
91,college,64.8569,-147.8028,2.97,91,100,2.57,US,1696235530
92,bubaque,11.2833,-15.8333,27.85,82,57,1.91,GW,1696235530
93,san patricio,28.017,-97.5169,27.94,85,18,3.24,US,1696235531
94,north ward,-19.2454,146.8075,23.95,73,40,5.66,AU,1696235531
95,vorgashor,67.5833,63.95,9.13,87,100,7.75,RU,1696235531
96,kourou,5.1552,-52.6478,24.03,85,72,3.87,GF,1696235531
97,blackmans bay,-43.0167,147.3167,16.07,50,0,4.52,AU,1696235531
98,east london,-33.0153,27.9116,21.52,52,0,5.14,ZA,1696235531
99,lihue,21.9789,-159.3672,25.77,84,100,7.2,US,1696235368
100,altar,30.7,-111.8167,18.92,59,0,1.67,MX,1696235531
101,jinchang,38.4953,102.1739,19.9,32,0,3.08,CN,1696235531
102,atafu village,-8.5421,-172.5159,28.38,75,37,4.38,TK,1696235532
103,nantucket,41.2835,-70.0995,16.06,86,0,5.14,US,1696235502
104,xapuri,-10.6517,-68.5044,22.95,85,86,0.9,BR,1696235532
105,machico,32.7,-16.7667,25.0,81,20,3.09,PT,1696235532
106,fada,9.5667,8.3,22.47,91,100,0.74,NG,1696235532
107,ushuaia,-54.8,-68.3,-0.19,74,75,3.09,AR,1696235532
108,san carlos,9.6612,-68.5827,23.85,96,100,0.82,VE,1696235532
109,kande,9.9578,1.0447,27.72,73,95,2.56,TG,1696235532
110,jamestown,42.097,-79.2353,15.8,99,100,0.45,US,1696235526
111,gizo,-8.103,156.8419,27.23,84,79,5.49,SB,1696235532
112,badger,64.8,-147.5333,2.93,94,100,2.57,US,1696235533
113,katsuura,35.1333,140.3,21.76,63,100,5.66,JP,1696235533
114,port said,31.2565,32.2841,25.99,57,75,4.63,EG,1696235533
115,diffa,13.3154,12.6113,27.61,52,100,2.39,NE,1696235533
116,monrovia,6.3005,-10.7969,25.87,85,58,4.49,LR,1696235533
117,la gi,10.6667,107.7833,25.07,93,100,3.74,VN,1696235533
118,oranjemund,-28.55,16.4333,22.64,49,0,1.55,NA,1696235534
119,staryye ozinki,51.1786,49.6769,20.06,37,100,3.35,RU,1696235534
120,kiunga,-6.1219,141.2906,24.09,97,89,1.69,PG,1696235534
121,stanley,54.868,-1.6985,12.06,92,0,1.54,GB,1696235534
122,bhuj,23.2667,69.6667,35.46,16,96,3.06,IN,1696235430
123,port mathurin,-19.6833,63.4167,23.51,84,25,6.05,MU,1696235534
124,la ronge,55.1001,-105.2842,7.14,81,100,4.12,CA,1696235534
125,polyarnyy,69.1989,33.4478,3.86,65,45,7.66,RU,1696235534
126,al bardiyah,31.7561,25.0865,26.09,44,2,3.23,LY,1696235534
127,maintirano,-18.0667,44.0167,29.51,58,5,7.95,MG,1696235535
128,ciudad bolivar,8.1222,-63.5497,25.0,88,87,1.74,VE,1696235465
129,ola,59.5833,151.2833,9.67,72,12,2.09,RU,1696235535
130,edinburgh of the seven seas,-37.0676,-12.3116,9.69,68,89,10.97,SH,1696235535
131,iqaluit,63.7506,-68.5145,2.85,86,100,3.6,CA,1696235535
132,benjamin hill,30.1667,-111.1,18.29,47,0,2.04,MX,1696235535
133,gisborne,-38.6533,178.0042,16.44,72,92,4.35,NZ,1696235417
134,nchelenge,-9.3451,28.734,31.31,40,13,3.56,ZM,1696235535
135,rio bueno,-40.3167,-72.9667,8.08,99,100,0.88,CL,1696235536
136,murun-kuren,49.6342,100.1625,8.67,63,97,0.32,MN,1696235536
137,nemuro,43.3236,145.575,15.52,72,3,6.36,JP,1696235536
138,valley city,46.9233,-98.0032,21.29,64,0,4.12,US,1696235536
139,la passe,45.5549,-0.8967,22.23,49,67,6.21,FR,1696235536
140,mahina,-17.5065,-149.489,26.87,69,100,1.03,PF,1696235536
141,constantia,44.1833,28.65,21.5,42,14,8.26,RO,1696235536
142,el haouaria,37.05,11.0144,25.01,59,0,4.0,TN,1696235536
143,boende,-0.2167,20.8667,34.55,45,89,1.05,CD,1696235536
144,bredasdorp,-34.5322,20.0403,23.09,38,0,2.93,ZA,1696235537
145,redwood falls,44.5394,-95.1169,22.01,68,0,4.63,US,1696235537
146,mount isa,-20.7333,139.5,33.87,14,0,3.6,AU,1696235537
147,port sudan,19.6175,37.2164,33.7,53,0,4.65,SD,1696235537
148,yuzhno-kurilsk,44.0306,145.8556,14.65,74,35,2.66,RU,1696235537
149,pacific grove,36.6177,-121.9166,14.45,91,75,0.45,US,1696235504
150,launceston,-41.45,147.1667,12.8,71,0,6.17,AU,1696235305
151,tsiombe,-25.3,45.4833,19.85,77,100,6.02,MG,1696235537
152,cururupu,-1.8283,-44.8683,26.7,75,62,3.38,BR,1696235537
153,montagu,-40.7667,144.9667,12.16,86,0,9.21,AU,1696235538
154,lucapa,-8.4192,20.7447,33.67,37,13,0.62,AO,1696235538
155,ramachandrapuram,16.85,82.0167,32.23,72,100,4.57,IN,1696235538
156,faya-largeau,17.9257,19.1043,34.3,20,98,15.68,TD,1696235538
157,malango,-2.9627,119.9001,26.29,65,82,1.85,ID,1696235538
158,clovis,36.8252,-119.7029,18.94,67,75,2.57,US,1696235347
159,guerrero negro,27.9769,-114.0611,18.67,78,40,6.57,MX,1696235538
160,taoudenni,22.6783,-3.9836,36.39,11,5,7.16,ML,1696235539
161,diu,20.7141,70.9822,30.2,52,10,5.78,IN,1696235539
162,ngorongoro,-3.2397,35.4875,21.05,40,11,4.38,TZ,1696235539
163,wailua homesteads,22.0669,-159.378,25.44,87,100,7.2,US,1696235539
164,plettenberg bay,-34.0527,23.3716,22.78,42,0,1.84,ZA,1696235539
165,kolokani,13.5728,-8.0339,27.8,59,63,2.34,ML,1696235539
166,port alfred,-33.5906,26.891,22.32,55,1,2.24,ZA,1696235540
167,aasiaat,68.7098,-52.8699,-8.64,83,44,4.91,GL,1696235540
168,newman,37.3138,-121.0208,15.99,78,4,1.22,US,1696235540
169,thompson,55.7435,-97.8558,2.09,100,100,3.6,CA,1696235540
170,alpnach,46.9402,8.2743,22.61,72,0,1.03,CH,1696235540
171,nuuk,64.1835,-51.7216,1.34,80,96,6.71,GL,1696235540
172,tzaneen,-23.8332,30.1635,16.01,64,100,3.52,ZA,1696235540
173,cannonvale,-20.2833,148.7,22.66,82,6,5.0,AU,1696235541
174,afaahiti,-17.75,-149.2833,25.93,88,13,8.41,PF,1696235541
175,usak,38.5,29.4167,17.99,55,78,5.66,TR,1696235541
176,naze,28.3667,129.4833,26.51,78,68,8.28,JP,1696235541
177,igarka,67.4667,86.5833,0.89,73,100,7.3,RU,1696235541
178,tofol,5.3248,163.0078,29.07,70,15,1.41,FM,1696235541
179,northam,51.0333,-4.2167,18.7,100,100,0.83,GB,1696235542
180,bikenibeu village,1.3673,173.1241,29.98,70,20,2.57,KI,1696235542
181,olovyannaya,50.95,115.5667,12.91,49,100,6.08,RU,1696235542
182,moldava nad bodvou,48.6143,20.9996,16.56,74,0,0.51,SK,1696235542
183,de aar,-30.6497,24.0123,18.88,39,0,5.14,ZA,1696235542
184,anamosa,42.1083,-91.2852,18.87,83,9,3.15,US,1696235542
185,newark,40.7357,-74.1724,19.97,81,75,2.57,US,1696235279
186,anatuya,-28.4606,-62.8347,14.74,58,4,5.45,AR,1696235542
187,gadzhiyevo,69.2551,33.3362,3.7,65,48,7.85,RU,1696235543
188,dudinka,69.4058,86.1778,-5.18,83,100,5.36,RU,1696235543
189,bunbury,-33.3333,115.6333,14.17,49,56,9.85,AU,1696235340
190,dubbo,-32.25,148.6167,30.07,20,44,3.09,AU,1696235466
191,al awjam,26.5632,49.9433,40.06,11,0,4.63,SA,1696235543
192,baiao,-2.7906,-49.6717,23.28,95,15,1.41,BR,1696235543
193,sisimiut,66.9395,-53.6735,-0.02,64,92,3.47,GL,1696235476
194,khandyga,62.6667,135.6,5.12,93,91,2.05,RU,1696235543
195,sao tome,0.3365,6.7273,29.02,70,40,5.66,ST,1696235544
196,magadan,59.5667,150.8,9.34,66,16,0.89,RU,1696235544
197,vize,41.5725,27.7658,22.02,43,33,7.81,TR,1696235544
198,bethanie,-26.4833,17.15,32.48,8,0,6.83,NA,1696235544
199,coahuayana de hidalgo,18.7,-103.6583,25.92,95,94,1.23,MX,1696235544
200,hammerfest,70.6634,23.6821,2.25,87,75,4.12,NO,1696235544
201,daru,-9.0763,143.2092,24.92,87,77,5.93,PG,1696235544
202,kodiak,57.79,-152.4072,4.73,93,100,2.06,US,1696235544
203,meadow lakes,61.6247,-149.6011,7.83,95,100,0.0,US,1696235314
204,mana,5.6592,-53.7767,24.84,88,32,4.41,GF,1696235545
205,ellsworth,44.5434,-68.4195,13.69,87,0,3.09,US,1696235545
206,nar'yan-mar,67.6713,53.087,10.62,96,100,3.58,RU,1696235545
207,shatsk,54.0258,41.7119,13.14,69,100,1.44,RU,1696235545
208,duba,27.3513,35.6901,32.56,51,28,5.68,SA,1696235543
209,toliara,-23.35,43.6667,26.2,62,61,9.73,MG,1696235545
210,wanganui,-39.9333,175.05,12.0,82,75,9.83,NZ,1696235545
211,labrador city,52.9463,-66.9114,5.95,93,100,1.54,CA,1696235545
212,leshan,29.5623,103.7639,20.71,87,100,0.49,CN,1696235546
213,lorengau,-2.0226,147.2712,27.41,79,41,2.44,PG,1696235546
214,magdagachi,53.45,125.8,8.36,67,100,1.91,RU,1696235546
215,divo,5.8397,-5.36,25.25,87,96,1.48,CI,1696235546
216,santa ana,33.7456,-117.8678,15.92,82,0,1.54,US,1696235546
217,misratah,32.3754,15.0925,25.41,57,0,4.95,LY,1696235546
218,castillos,-34.1667,-53.8333,6.43,94,2,1.77,UY,1696235546
219,shamkhor,40.8297,46.0189,20.2,62,100,2.45,AZ,1696235546
220,okha,53.5739,142.9478,8.46,95,100,12.18,RU,1696235547
221,fort bragg,35.139,-79.006,16.75,94,0,1.54,US,1696235547
222,berriozar,42.8429,-1.6697,24.56,66,0,0.89,ES,1696235547
223,oranjestad,12.524,-70.027,28.28,91,20,1.54,AW,1696235547
224,timimoun,29.2639,0.231,24.21,35,0,7.72,DZ,1696235547
225,codrington,-38.2667,141.9667,19.52,63,0,2.98,AU,1696235547
226,weno,7.4515,151.8468,28.97,79,100,2.06,FM,1696235547
227,xai-xai,-25.0519,33.6442,23.02,45,34,5.75,MZ,1696235547
228,kavieng,-2.5744,150.7967,28.28,75,12,0.52,PG,1696235548
229,sinop,41.7711,34.8709,20.24,48,97,5.77,TR,1696235548
230,san antonio de pale,-1.4014,5.6325,25.3,83,100,4.51,GQ,1696235548
231,monchegorsk,67.9397,32.8739,3.31,66,53,3.24,RU,1696235548
232,uturoa,-16.7333,-151.4333,25.74,83,8,7.53,PF,1696235548
